,第2層,第3層,第4層,H28対応項目,メモ
1765,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
1766,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
1767,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
1768,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
1769,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
1770,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
1771,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
1772,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
1773,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
1774,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
1775,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
1776,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
1777,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
1778,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
1779,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
1780,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
1781,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
1782,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
1783,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
1784,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
1785,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
1786,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
1787,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
1788,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
1789,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
1790,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
1791,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
1792,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
1793,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
1794,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
1795,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
1796,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
1797,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
1798,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
1799,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
1800,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
1801,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
1802,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
1803,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
1804,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
1805,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
1806,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
1807,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
1808,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
1809,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
1810,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
1811,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
1812,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
1813,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
1814,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
1815,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
1816,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
1817,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
1818,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
1819,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
1820,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
1821,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
1822,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
1823,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
1824,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
1825,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
1826,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
1827,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
1828,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
1829,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
1830,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
1831,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
1832,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
1833,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
1834,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
1835,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
1836,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
1837,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
1838,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
1839,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
1840,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
1841,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
1842,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
1843,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
1844,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
1845,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
1846,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
1847,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
1848,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
1849,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
1850,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
1851,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
1852,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
1853,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
1854,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
1855,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
1856,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
1857,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
1858,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
1859,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
1860,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
1861,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
1862,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
1863,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
1864,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
1865,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
1866,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
1867,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
1868,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
1869,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
1870,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
1871,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
1872,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
1873,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
1874,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
1875,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
1876,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
1877,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
1878,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
1879,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
1880,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
1881,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
1882,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
1883,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
1884,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
1885,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
1886,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
1887,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
1888,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
1889,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
1890,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
1891,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
1892,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
1893,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
1894,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
1895,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
1896,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
1897,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
1898,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
1899,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
1900,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
1901,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
1902,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
1903,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
1904,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
1905,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
1906,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
1907,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
1908,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
1909,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
1910,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
1911,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
1912,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
1913,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
1914,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
1915,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
1916,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
1917,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
1918,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
1919,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
1920,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
1921,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
1922,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
1923,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
1924,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
1925,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
1926,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
1927,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
1928,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
1929,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
1930,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
1931,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
1932,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
1933,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
1934,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
1935,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
1936,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
1937,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
1938,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
1939,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
1940,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
1941,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
1942,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
1943,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
1944,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
1945,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
1946,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
1947,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
1948,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
1949,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
1950,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
1951,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
1952,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
1953,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
1954,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
1955,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
1956,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
1957,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
1958,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
1959,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
1960,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
1961,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
1962,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
1963,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
1964,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
1965,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
1966,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
1967,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
1968,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
1969,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
1970,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
1971,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
1972,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
1973,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
1974,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
1975,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
1976,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
1977,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
1978,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
1979,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
1980,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
1981,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
1982,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
1983,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
1984,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
1985,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
1986,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
1987,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
1988,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
1989,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
1990,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
1991,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
1992,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
1993,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
1994,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
1995,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
1996,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
1997,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
1998,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
1999,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
2000,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
2001,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
2002,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
2003,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
2004,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
2005,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
2006,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
2007,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
2008,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
2009,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
2010,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
2011,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
2012,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
2013,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
2014,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
2015,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
2016,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
2017,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
2018,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
2019,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
2020,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
2021,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
2022,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
2023,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
2024,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
2025,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
2026,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
